  ELEMENTS
   1 1
   2 1
   3 1
   4 1
   5 1
   6 1
   7 1
   8 1
   9 1
   10 1
   11 1
   12 1
   13 1
   14 1
   15 1
   16 1
   17 1
   18 1
   19 1
   20 1
   21 1
   22 1
   23 1
   24 1
   25 1
   26 1
   27 1
   28 1
   29 1
   30 1
   31 1
   32 1
   33 1
   34 1
   35 1
   36 1
   37 1
   38 1
   39 1
   40 1
   41 1
   42 1
   43 1
   44 1
   45 1
   46 1
   47 1
   48 1
   49 1
   50 1
   51 1
   52 1
   53 1
   54 1
   55 1
   56 1
   57 1
   58 1
   59 1
   60 1
   61 1
   62 1
   63 1
   64 1
   65 1
   66 1
   67 1
   68 1
  END_ELEMENTS
  BOUNDARIES
1 2
2 2
3 1
4 3
5 4
6 25
7 24
8 23
9 22
10 21
11 20
12 5
13 6
14 7
15 8
16 9
17 10
18 11
19 12
20 13
21 14
22 15
23 16
24 17
25 18
26 19
  END_BOUNDARIES

  NODES
  END_NODES
